rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
rec-0053-org,female,chelsea,sloniec,2903,brisbane,04 3190 6542,3035 1894 2530 9740,25737.86,46,35723.2,58,na,74.540
rec-0054-org,male,nellie,huxley,2607,canberra,03 1355 1896,8207 6013 9649 2319,8888.88,71,41593.5,70,na,72.734
rec-0055-org,female,lillianna,white,2604,perth,04 1968 8345,5015 1065 2108 1361,45772.09,13,73587.7,86,na,69.482
rec-0056-org,male,brooke,michelmore,2607,melbourne,03 4296 5653,4350 6941 4944 9043,27370.29,112,82685.9,36,f,64.447
rec-0057-org,female,madison,siviour,2905,perth,03 5140 4822,4751 0307 9229 8517,22585.21,34,52568.4,85,f,71.910
rec-0058-org,male,vanessa,hammill,2602,canberra,08 4857 1174,3761 8483 8858 5073,35089.87,64,36742.5,52,na,79.969
rec-0059-org,female,destynii,broadby,2905,melbourne,02 9485 7307,1551 6941 4399 9835,54669.54,118,62687.1,46,f,77.623
rec-0060-org,female,ella,michelmore,2602,hobart,04 8234 3528,1112 9901 3870 4224,24526.08,23,95639.2,101,f,75.982
rec-0061-org,male,holly,iliopoulos,2902,melbourne,07 3202 1034,7094 7555 0421 0459,78420.85,117,27136.0,50,f,70.947
rec-0062-org,male,livia,balchin,2615,sydney,07 3997 9159,6760 0973 5707 0586,60086.94,13,38553.1,88,na,81.984
rec-0063-org,male,darcy,swetnam,2617,sydney,02 6397 5580,5089 7100 2416 2800,32801.63,104,159626.6,17,f,73.677
rec-0064-org,female,bailey,reid,2615,hobart,02 5049 2976,4598 9732 0894 3924,31632.63,84,64622.6,43,na,69.217
rec-0065-org,male,taylah,ryan,2605,melbourne,08 2810 0408,4882 1513 0378 8497,40616.43,99,65674.9,32,na,70.592
rec-0066-org,female,lily,mcconnel,2615,hobart,02 2286 3900,9353 0934 9406 1040,33448.19,107,94928.9,67,f,73.632
rec-0067-org,male,zali,slape,2913,melbourne,02 8948 6828,3362 4920 7280 0351,11543.28,118,56956.2,107,m,73.913
rec-0068-org,female,ruby,brooker,2615,perth,07 6072 6853,2307 6869 4924 6374,33624.95,55,90390.2,63,f,76.117
rec-0069-org,female,layla,herbert,2905,brisbane,02 8608 9704,3858 0244 9534 0611,26038.66,13,28796.4,87,f,79.086
rec-0070-org,male,hannah,musolino,2914,sydney,03 5991 9835,7469 1028 0981 1190,46659.18,13,80568.9,82,f,76.651
rec-0071-org,female,ebony,blackwell,2602,sydney,08 3946 9066,6216 7696 0825 0367,42819.69,50,29961.8,15,f,76.521
rec-0072-org,male,morgan,morrison,2904,sydney,08 9479 8232,5183 0605 8260 9469,59031.17,115,28710.0,67,m,81.544
rec-0073-org,male,hayley,green,2905,sydney,02 7596 0077,2489 4193 1082 7799,59641.58,6,56973.0,98,m,78.165
rec-0074-org,male,caitlin,dudley,2617,melbourne,03 6563 6905,1790 3233 8213 2132,55023.92,85,38685.0,12,f,77.012
rec-0075-org,male,caitlyn,chala,2602,perth,02 2871 6889,4858 3431 5524 2110,20838.54,59,29392.2,53,na,75.554
rec-0076-org,male,shai,coleman,2603,sydney,03 5446 0501,6181 8732 7724 3074,20977.91,67,72785.6,37,f,72.590
rec-0077-org,male,caresse,aoun,2611,sydney,03 3381 4792,7566 8860 5990 2604,63240.98,98,108186.9,12,f,74.024
rec-0078-org,male,emiily,le leu,2607,melbourne,04 6938 9033,4941 1761 7610 2934,40275.16,8,27820.0,59,m,72.912
rec-0079-org,male,andrea,coleman,2615,sydney,03 8388 5404,5858 5270 2455 4414,46291.13,50,229372.6,65,f,81.849
rec-0080-org,male,isabella,licciardello,2614,melbourne,08 4833 3647,5360 2447 8912 6530,9363.15,45,41816.6,49,f,73.277
rec-0081-org,female,bridget,blake,2602,brisbane,02 9212 4168,3084 2148 3541 0273,66264.60,19,60287.1,89,m,74.946
rec-0082-org,male,alana,blohm,2905,sydney,03 3278 1714,1593 6591 6592 0557,35700.28,60,35329.8,88,m,77.793
rec-0083-org,female,emiily,nguyen,2600,melbourne,08 8486 8024,9953 1880 2774 6538,18451.40,58,97946.4,52,m,77.227
rec-0084-org,male,kelsye,royle,2617,sydney,02 8124 1145,6816 2166 1535 6749,54531.93,21,35314.2,78,na,78.070
rec-0085-org,female,holly,crook,2602,perth,07 2546 1716,4956 7220 4123 7996,36827.75,110,32404.3,38,f,81.443
rec-0086-org,female,alessandra,meares,2615,melbourne,02 0404 5046,2652 7038 6696 2978,49806.08,76,59606.3,33,m,74.915
rec-0087-org,male,april,dudgeon,2600,sydney,02 6086 7103,7693 4155 0813 0584,71612.40,4,71577.1,58,m,69.489
rec-0088-org,male,charlotte,bollen,2902,canberra,07 8123 0217,8356 7717 2378 7834,42318.41,72,22490.4,76,m,78.345
rec-0089-org,female,tylah,matthews,2906,perth,07 4996 4365,6330 4304 4382 0206,70894.28,32,91655.1,56,na,81.761
rec-0090-org,male,sarah,dakin,2602,sydney,02 7680 3904,0402 2065 3286 7736,57196.48,87,65737.9,66,na,78.232
rec-0091-org,male,amy,lodge,2902,sydney,04 3252 2358,0501 8803 6608 4077,85444.75,76,88926.2,16,na,70.708
rec-0092-dup-0,,annabele,lonkhurst,2995,melbourne,,4161 7805 0595 8315,57276.25,0,166520.6,62,f,72.927
rec-0092-org,male,annabelle,longhurst,2905,melbourne,04 4034 4679,4161 7805 0595 8315,57276.25,0,166520.6,62,f,72.927
rec-0093-org,female,amy,nicklason,2617,melbourne,02 2470 6375,0420 8783 2011 2439,56570.89,114,51900.5,97,na,71.298
rec-0094-org,male,ruby,ljubic,2905,canberra,03 5967 1342,1019 4833 8140 0366,48119.34,18,130193.8,12,na,78.163
rec-0095-org,female,samantha,white,2602,brisbane,02 7380 4849,7026 7678 2740 5740,16504.85,26,26420.4,87,na,72.731
rec-0096-org,male,holly,stephenson,2602,canberra,04 3272 7138,9045 3724 9996 6846,47354.41,114,71233.3,108,m,75.484
rec-0097-org,male,olivia,rocca,2602,perth,03 3525 7048,1299 2690 3517 8218,30663.24,82,89818.9,105,na,78.349
rec-0098-dup-0,male,carlotte,urosevix,2607,melbourme,,9564 5983 1228 43666,62592.74,108,76385.7,16,m,73.981
rec-0098-dup-1,,kralotte,urosebic,2607,melpourne,08 4553 4518,9564 983 1228 4366,62592.74,108,76385.7,16,m,73.981
rec-0098-dup-2,,cgarlotte,urosevik,2507,melbourne,08 4553 4518,9564 5983 1228 4366,62592.74,108,76385.7,6,m,73.981
rec-0098-org,male,charlotte,urosevic,2607,melbourne,08 4553 4518,9564 5983 1228 4366,62592.74,108,76385.7,16,m,73.981
rec-0099-org,male,sidonie,noble,2615,perth,04 0943 7412,4293 5279 6859 0384,60919.17,76,48148.4,80,na,82.745
rec-0100-org,female,madeline,spratt,2905,hobart,08 6985 6293,3939 7086 7848 9844,61078.19,40,53666.7,75,m,68.514
rec-0101-org,female,claudia,flannery,2906,melbourne,04 0850 4500,6291 6658 2505 0572,47014.18,60,64940.6,78,f,71.560
rec-0102-org,male,emiily,miles,2903,melbourne,03 8473 7163,6577 4764 7790 9573,37256.30,67,8310.2,11,na,73.611
rec-0103-org,male,emiily,latella,2601,sydney,08 2808 7346,5226 0814 5920 0632,32165.46,17,33508.3,16,f,76.585
rec-0104-org,female,zali,lapies,2614,canberra,02 3865 9467,3522 3632 0191 4748,60637.86,99,67866.4,58,m,69.572
rec-0105-org,male,chloe,bishop,2615,sydney,07 3338 4125,7525 9066 6139 7614,81642.68,48,197083.6,59,f,74.220
rec-0106-org,female,jessica,rapson,2606,sydney,08 4574 1949,6846 8178 1590 9352,85117.75,108,42743.5,28,f,75.024
rec-0107-org,male,hannah,costigan,2602,melbourne,02 2869 7262,9741 0903 3872 9373,33495.07,91,47377.4,87,m,77.380
rec-0108-org,female,keziah,clarke,2615,brisbane,08 7757 4362,5629 4300 2749 1709,42695.39,92,38468.0,23,na,69.434
rec-0109-org,female,maddison,sherriff,2614,sydney,08 0047 3874,3372 5840 5682 1877,39848.84,88,97436.5,76,f,79.088
rec-0110-org,female,laura,coleman,2611,brisbane,08 0478 5413,8447 1535 6012 8901,101624.09,96,93050.4,28,m,75.539
rec-0111-org,male,ellen,szynkar,2906,perth,02 6738 4405,2453 3006 2308 2862,60557.33,29,54814.5,68,f,75.334
rec-0112-org,female,asha,kao,2605,hobart,03 0940 5139,5421 4483 4179 2937,45362.09,75,22790.9,107,m,77.218
rec-0113-dup-0,,matalun,carmotv,29o5,sydney,,8563 8704 9524 6634,54803.50,33,62974.0,50,f,76.342
rec-0113-dup-1,male,matalyn,karmoty,2905,sydbesy,,8563 8704 924 6634,54803.50,33,62974.0,50,f,76.342
rec-0113-org,male,madalyn,carmody,2905,sydney,02 4945 2267,8563 8704 9524 6634,54803.50,33,62974.0,50,f,76.342
rec-0114-dup-0,male,emwahson,manger,2602,pertg,,3096 540180848 1081,31156.61,20,41957.3,130,m,81.258
rec-0114-dup-1,,emerzon,manger,missing,perth,,3096 4018 0848 1081,31156.61,20,41957.3,104,m,81.258
rec-0114-dup-2,male,emersno,manher,2602,pet,,3096 4018 0848 10381,31156.61,20,41957.3,103,m,81.258
rec-0114-org,male,emerson,manger,2602,perth,08 6445 8949,3096 4018 0848 1081,31156.61,20,41957.3,103,m,81.258
rec-0115-dup-0,,olifia,paterjon,2615,obard,04 1462 5471,6853 1299 9874 8907,69611.74,28,41987.2,59,m,80.537
rec-0115-org,female,olivia,paterson,2615,hobart,04 1462 5471,6853 1299 9874 8907,69611.74,28,41987.2,95,m,80.537
rec-0116-org,male,aurora,white,2615,sydney,02 2257 4877,3262 8816 8101 2891,80132.01,77,26927.7,18,m,79.430
rec-0117-org,male,jessica,bullivant,2603,canberra,04 0031 2805,9584 7467 1811 2614,63759.50,111,35409.7,94,na,79.175
rec-0118-org,male,harriet,neville,2605,melbourne,07 7552 1795,3599 9024 2306 8780,41723.23,4,71360.5,36,m,72.591
rec-0119-org,male,madison,campbell,2604,melbourne,02 9855 1789,4545 4285 2289 5549,41663.25,85,57146.0,25,f,81.587
rec-0120-org,male,jacqueline,coleman,2607,melbourne,08 9315 5342,1917 6439 5113 5156,64079.40,50,86597.2,53,m,76.823
rec-0121-org,male,bella,mccarthy,2611,melbourne,07 1240 1639,8114 4451 8054 7366,28233.61,112,45352.2,94,m,80.655
rec-0122-org,male,taalia,stephenson,2902,melbourne,04 9590 4080,1825 0766 6554 2974,54897.34,26,126611.8,64,f,75.547
rec-0123-org,male,madison,de lucia,2913,canberra,08 0382 4303,1395 0965 2288 4620,40190.36,91,47427.1,102,m,74.524
rec-0124-org,male,aleisha,criswood,2611,sydney,07 3827 7723,7660 6948 5732 9993,56720.35,79,93089.2,85,na,76.818
rec-0125-org,female,kalli,povey,2607,brisbane,08 6324 0659,6896 3759 6407 3532,61682.87,97,104514.7,92,na,87.463
rec-0126-org,female,sarsha,dixon,2607,sydney,07 5061 3681,2157 2336 9325 7317,27766.98,67,71945.3,21,f,79.977
rec-0127-org,male,jade,manthorpe,2902,sydney,04 3393 0195,7314 2906 3093 2816,68532.67,38,175060.3,38,f,71.628
rec-0128-org,female,elly,miholos,2615,canberra,02 6403 8636,6430 2396 5168 0977,62351.03,63,53313.9,107,m,70.479
rec-0129-org,male,zoe,mason,2611,perth,03 2445 4664,3628 9155 4280 3353,65148.49,60,36415.1,29,na,74.107
rec-0130-org,male,tylah,cuming,2906,melbourne,02 2277 2205,0354 8380 7431 5890,54023.89,17,18494.4,26,f,84.364
rec-0131-org,female,kierra,excell,2913,brisbane,02 7165 3479,5147 5393 4046 1643,64162.87,71,41394.8,56,m,79.083
rec-0132-org,male,imogen,miles,2604,perth,02 9078 6430,4751 4668 6822 8520,46292.70,118,74233.2,29,m,69.030
rec-0133-dup-0,,kola,vincent,2615,pertg,,9792 79720 2164 9488,60242.98,101,113548.5,85,f,68.537
rec-0133-org,male,koula,vincent,2615,perth,03 2358 0864,9792 7972 2164 9488,60242.98,101,113548.5,85,f,68.537
rec-0134-org,female,shelby,paterson,2611,sydney,03 6786 0376,5268 8588 8020 1321,11635.90,13,122871.6,95,f,70.482
rec-0135-org,male,ella,wang,2617,melbourne,08 2683 3080,6717 0521 6089 7417,26019.01,83,16176.1,25,f,72.998
rec-0136-org,male,katherine,campbell,2905,melbourne,02 1891 0137,6718 2971 2500 9530,45618.34,19,136364.2,109,f,72.098
rec-0137-org,female,tylah,clarke,2602,canberra,03 1127 5122,1901 6823 1145 8318,62760.03,27,187490.5,103,f,76.960
rec-0138-org,female,lily,white,2615,perth,07 4917 8966,1971 3892 1703 2675,27180.84,7,86558.0,109,f,78.254
rec-0139-org,male,eliza,stefanidi,2604,sydney,08 0766 0614,9558 3843 9948 0900,55296.35,97,116277.5,84,na,80.066
rec-0140-org,male,april,schelkis,2602,canberra,03 4187 6938,8503 9094 5174 9958,55861.04,21,117792.5,104,f,69.103
rec-0141-org,male,tarnee,bowron,2612,perth,07 3310 1495,7385 8751 0901 9798,44084.02,82,60957.8,54,f,72.034
rec-0142-org,male,freya,stephenson,2607,canberra,03 8177 8702,1198 3199 5467 1984,54344.65,34,119068.5,90,f,77.171
rec-0143-org,male,brooke,rabe,2615,melbourne,04 8348 3672,7816 2287 3689 2982,90617.77,21,92451.2,72,m,73.688
rec-0144-org,male,shona,pulford-clark,2611,sydney,08 4779 1654,2373 8258 4250 8306,88982.82,25,85058.6,94,m,78.374
rec-0145-org,female,jasmine,spicer,2614,melbourne,07 8885 3633,9464 5795 3867 6280,46930.91,71,67193.9,60,m,81.839
rec-0146-org,male,ellie,berezansky,2615,perth,03 4596 8014,4023 9748 3401 3681,27848.20,107,45254.0,91,m,80.737
rec-0147-org,female,jasmine,gibb,2615,canberra,03 7501 8852,1522 4769 1663 4178,51078.08,31,79838.5,101,f,74.224
rec-0148-org,female,alessandria,highet,2615,sydney,03 6579 7251,4432 8904 7256 4993,43251.36,56,40474.6,94,na,81.245
rec-0149-org,male,olivia,blackwell,2902,sydney,04 8258 0304,2333 4668 4193 3160,43480.16,75,28598.6,28,na,72.553
rec-0150-org,male,chloe,sedunary,2606,perth,07 7067 7330,6309 9242 4955 3482,23754.69,8,74579.0,36,m,78.169
rec-0151-org,male,olivia,white,2615,melbourne,04 6450 9269,5430 5494 2166 4253,67448.88,116,106163.8,27,na,73.247
rec-0152-org,female,lily,mcgregor,2614,sydney,02 2670 8011,5002 1585 6992 0736,20351.69,19,97154.9,83,m,80.079
rec-0153-org,female,lauren,webb,2913,brisbane,04 6265 4962,9917 9280 1875 9696,41662.93,52,98443.6,43,m,70.018
rec-0154-org,female,diamond,friedman,2617,sydney,07 0256 6711,0596 2938 3666 9091,46545.06,59,55350.5,25,f,77.306
rec-0155-org,male,rachel,burleigh,2617,melbourne,04 0411 7106,4917 5772 6130 6292,72474.20,3,89301.3,18,m,80.071
rec-0156-org,male,ella,sczensny,2617,perth,08 6493 6620,8342 2506 9317 6239,29446.95,114,3382.1,38,na,63.509
rec-0157-org,female,kayla,mcneill,2615,brisbane,07 6638 1239,6015 2358 8105 8151,35959.12,91,163243.7,66,f,67.559
rec-0158-org,male,nikita,zaltron,2611,perth,04 8750 9600,1869 6201 9119 5626,66040.91,65,93961.3,107,m,73.666
rec-0159-org,female,hannah,yu,2604,melbourne,03 4099 6827,9827 8326 5895 9943,51651.72,54,109812.9,99,f,76.073
rec-0160-org,female,olivia,baillie,2617,sydney,08 4965 6361,2379 3478 4708 2080,30963.51,21,70417.6,30,m,78.812
rec-0161-org,female,kaitlin,kammermann,2611,melbourne,03 9654 5271,9791 6571 0230 6955,23034.63,112,64352.1,42,f,79.241
rec-0162-org,male,teaha,denholm,2902,melbourne,04 2486 3172,7610 5614 4577 7916,81538.46,53,43971.8,27,na,74.451
rec-0163-org,male,darcy,clarke,2913,melbourne,04 8800 8389,4427 9858 4875 4839,60767.62,62,36798.7,28,f,66.871
rec-0164-org,male,bella,herbert,2906,melbourne,02 6149 7261,7285 5692 7263 3368,51850.42,92,25301.7,84,f,84.728
rec-0165-org,female,indiana,waller,2617,sydney,08 9996 7725,3435 3224 3842 0216,57555.24,75,112462.7,69,na,73.245
rec-0166-org,male,sarah,howie,2904,melbourne,02 1088 1624,0450 4836 8901 3033,49887.45,7,30385.0,42,na,73.896
rec-0167-org,male,lauren,reid,2904,melbourne,03 5255 6110,3969 0948 2082 8322,60281.40,71,38631.1,14,m,89.685
rec-0168-org,male,tansy,morrison,2612,perth,08 7783 0100,8253 6086 3210 1419,13598.68,110,87141.9,83,f,81.842
rec-0169-org,female,hannah,koulianos,2906,melbourne,04 8339 9769,6223 2436 3494 1191,60056.26,56,82156.8,89,f,77.278
rec-0170-dup-0,,heater,riean,2611,canberra,,5804 3887 833550424,70879.39,71,70898.6,101,m,72.667
rec-0170-dup-1,male,heatheah,rian,2611,canberra,,5804 3887 68335 5042,70879.39,71,70898.6,1091,m,72.667
rec-0170-dup-2,,heather,ryan,26q1,canberra,,58043887 83354 5042,70879.39,71,70898.6,1011,m,72.667
rec-0170-org,male,heather,ryan,2611,canberra,03 1408 2508,5804 3887 8335 5042,70879.39,71,70898.6,101,m,72.667
rec-0171-org,male,chantelle,vincent,2605,melbourne,03 8763 3048,1745 2529 5657 1219,87474.60,2,30580.5,88,na,81.617
rec-0172-org,male,anita,imhof,2902,melbourne,08 3998 3358,1381 7907 7004 0799,11899.66,61,51024.5,93,f,77.103
rec-0173-org,female,phoebe,humphreys,2602,perth,04 1224 0229,2800 7306 5455 0377,28775.46,64,26325.6,92,na,82.221
rec-0174-org,male,clodagh,binkowski,2615,perth,02 3811 4316,5164 2323 6327 5658,68946.91,48,94523.7,44,m,75.441
rec-0175-org,female,emma,witkin,2605,sydney,02 6735 4627,3655 1170 2515 1589,34946.67,45,93329.5,63,m,81.185
rec-0176-org,male,chloe,donaldson,2617,sydney,08 7747 3804,6337 3346 8618 7912,57574.41,45,148624.3,58,f,76.000
rec-0177-org,female,sarah,la roche,2611,brisbane,08 1938 5876,2600 7420 8009 8810,50483.63,10,70453.7,91,m,70.675
rec-0178-org,male,ysobel,synusas,2604,melbourne,08 0076 5777,1464 7426 5159 4202,15912.65,23,39395.8,11,na,70.577
rec-0179-org,male,eliza,waller,2606,canberra,02 4583 1455,8257 9618 5506 4015,84267.37,76,28575.5,30,m,67.989
rec-0180-org,male,angelica,whisson,2614,perth,03 2391 9861,7940 6389 7774 9937,79365.75,108,91008.9,43,m,72.038
rec-0181-org,male,hannah,gade,2615,sydney,03 0273 1937,1348 1654 1774 3458,60272.88,104,48931.1,74,m,77.407
rec-0182-org,male,kailey,robson,2614,sydney,02 6619 9241,2342 1748 1581 0139,50102.96,49,28755.7,22,m,74.522
rec-0183-org,male,montana,hingston,2615,canberra,04 5727 6344,6703 7972 9011 4457,69565.83,120,97096.8,54,m,72.732
rec-0184-org,male,stephanie,dixon,2611,melbourne,02 0678 4356,8991 1693 7410 7985,63249.72,75,118400.3,62,f,81.113
rec-0185-org,male,breana,nguyen,2903,melbourne,07 0063 7754,2457 8705 1989 3021,45665.07,114,73892.3,25,m,71.855
rec-0186-org,female,aurora,gillard,2617,brisbane,08 4398 3683,0649 8342 1806 5935,78209.56,12,41832.8,100,na,73.838
rec-0187-dup-0,male,josephien,manston,261u,perdh,03 2468 6241,0788 5905 07660 5982,44798.97,50,28555.4,65,m,75.549
rec-0187-org,male,josephine,manson,2617,perth,03 2468 6241,0788 5905 0766 5982,44798.97,50,28555.4,65,m,75.549
rec-0188-org,male,mikhayla,manias,2902,melbourne,07 4351 5227,1999 8850 8421 6162,52363.89,50,18072.1,77,na,76.702
rec-0189-org,female,katelin,guarino,2612,sydney,02 2402 6934,5220 9251 8941 2160,72361.03,102,99365.1,88,f,73.243
rec-0190-org,male,holly,kovacic,2905,melbourne,04 5795 6226,3963 9851 3946 0796,56385.86,31,13918.2,82,f,72.985
rec-0191-org,male,stephanie,wardle,2617,canberra,04 6769 0786,9819 8864 6095 8687,34246.10,107,98258.3,99,na,79.290
